MNEMONIC,Term,INSTRUCTOR_FIRST_NAME,INSTRUCTOR_LAST_NAME
ds_tech_bootcamp,FALL2021,Pete ,Alonzi
stat6021,FALL2021,Jeffrey ,Woo
ds5100,FALL2021,Judy ,Fox
cs5012,FALL2021,Jeremy ,Bolton
ds6030,FALL2021,Bill ,Basener
ds_biz_analytics,FALL2021,Marc ,Ruggiano
ds5110,FALL2021,Adam ,Tashman
ds5001,FALL2021,Sree ,Mallikarjun
ds6001,FALL2021,Eric ,Tassone
ds6011,FALL2021,Jeremy ,Bolton
ds6011,FALL2021,Peter ,Gedeck
ds6011,FALL2021,Eric ,Tassone
ds6011,FALL2021,Abbas ,Kazemipour
ds6011,FALL2021,Cait ,Dreisbach
ds6011,FALL2021,Lei ,Xie
ds6040,FALL2021,Bill ,Basener
ds6002,FALL2021,Renee ,Cummings
ds6050,FALL2021,Stephen ,Baek
ds6013,FALL2021,Raf ,Alvarado
ds6013,FALL2021,Teague ,Henry
ds_tech_bootcamp,SUMMER2021,Pete ,Alonzi
stat6021,SUMMER2021,Jeffrey ,Woo
ds5100,SUMMER2021,Nada ,Basit
cs5012,SUMMER2021,Jeremy ,Bolton
ds6030,SUMMER2021,Peter ,Gedeck
ds5110,SUMMER2021,Adam ,Tashman
ds5001,SUMMER2021,Sree ,Mallikarjun
ds6001,SUMMER2021,Raf ,Alvarado
ds6011,SUMMER2021,Raf ,Alvarado
ds6011,SUMMER2021,Teague ,Henry
ds6040,SUMMER2021,Teague ,Henry
ds6002,SUMMER2021,Renee ,Cummings
ds6050,SUMMER2021,Rich ,Nguyen
ds6013,SUMMER2021,Jon, Kropko
ds6012,SUMMER2021,Renee ,Cummings
ds6003,SUMMER2021,Jason ,Williamson
ds_tech_bootcamp,SPRING2021,Pete ,Alonzi
stat6021,SPRING2021,Jeffrey ,Woo
ds5100,SPRING2021,Judy ,Fox
cs5012,SPRING2021,Panagiotis ,Apostolellis
ds6030,SPRING2021,Mike ,Porter
ds5110,SPRING2021,Adam ,Tashman
ds5001,SPRING2021,Sree ,Mallikarjun
ds6001,SPRING2021,Jon ,Kropko
ds6011,SPRING2021,Jon ,Kropko
ds6040,SPRING2021,Bill ,Basener
ds6002,SPRING2021,Luis Felipe Rosado ,Murillo
ds6050,SPRING2021,Rich ,Nguyen
ds6013,SPRING2021,Raf ,Alvarado
ds6003,SPRING2021,Jason ,Williamson
ds6012,SPRING2021,Luis Felipe Rosado,Murillo
sarc5400,SPRING2021,Eric ,Field
